instance,rho,rep,benefit
easy,0.03,1,11574
easy,0.03,2,11558
easy,0.03,3,11771
easy,0.03,4,11869
easy,0.03,5,11869
easy,0.05,1,11771
easy,0.05,2,11582
easy,0.05,3,11771
easy,0.05,4,11677
easy,0.05,5,11677
easy,0.08,1,11534
easy,0.08,2,11682
easy,0.08,3,11765
easy,0.08,4,11436
easy,0.08,5,11602
easy,0.12,1,11579
easy,0.12,2,11738
easy,0.12,3,11600
easy,0.12,4,11771
easy,0.12,5,11677
easy,0.18,1,11640
easy,0.18,2,11643
easy,0.18,3,11579
easy,0.18,4,11735
easy,0.18,5,11506
medium1,0.03,1,10447
medium1,0.03,2,10495
medium1,0.03,3,10655
medium1,0.03,4,10525
medium1,0.03,5,10299
medium1,0.05,1,10431
medium1,0.05,2,10614
medium1,0.05,3,10405
medium1,0.05,4,10405
medium1,0.05,5,10605
medium1,0.08,1,10665
medium1,0.08,2,10330
medium1,0.08,3,10570
medium1,0.08,4,10405
medium1,0.08,5,10139
medium1,0.12,1,10605
medium1,0.12,2,10547
medium1,0.12,3,10293
medium1,0.12,4,10495
medium1,0.12,5,10393
medium1,0.18,1,10973
medium1,0.18,2,10547
medium1,0.18,3,10406
medium1,0.18,4,10614
medium1,0.18,5,10490
