# EVRP Instance: C22R2
# Generated following Zhang, Gajpal, Appadoo & Abdulkader (2018)
# Int. J. Production Economics, 203, 404-413
#
# Node indexing:
#   0          = Depot
#   1..22       = Customers
#   23..24     = Recharging Stations
#
# Coordinates in miles. Distances computed as Euclidean.
# Speeds in km/h. Demands in tons.
# Energy formula: E_ij = eff_d * eff_m * [alpha*(w+L)*d + beta*s^2*d]
#   with d in meters, s in m/s

NAME: C22R2
CUSTOMERS: 22
STATIONS: 2
TOTAL_NODES: 25
VEHICLE_CAPACITY_TONS: 3.0
BATTERY_CAPACITY_KWH: 110.0
CURB_WEIGHT_KG: 2500
ALPHA: 0.0981
BETA: 2.11
EFF_MOTOR: 1.25
EFF_BATTERY_DISCHARGE: 1.11
EFF_RECHARGE: 1.25
EMISSION_RATE_KG_PER_KWH: 0.69
MAX_VEHICLES: 3
GRID_SIZE_MILES: 200
MILES_TO_METERS: 1609.34

NODE_COORD_SECTION
# NodeID  Type       X_miles   Y_miles   Demand_tons
0	D	100.00	100.00	0.0000
1	C	9.22	122.96	0.1295
2	C	138.33	189.36	0.1241
3	C	104.67	189.24	0.1496
4	C	130.24	70.66	0.0921
5	C	71.55	160.12	0.1279
6	C	147.78	99.50	0.0990
7	C	27.21	181.88	0.0751
8	C	74.27	36.60	0.0764
9	C	34.14	145.39	0.1200
10	C	36.79	195.60	0.0609
11	C	139.29	87.39	0.1207
12	C	86.10	199.26	0.0747
13	C	64.53	161.91	0.0710
14	C	122.53	42.44	0.0511
15	C	164.52	130.11	0.0969
16	C	148.25	122.19	0.1247
17	C	104.67	192.70	0.1073
18	C	113.05	114.35	0.0715
19	C	172.11	37.74	0.0996
20	C	44.27	1.62	0.1490
21	C	79.55	151.15	0.1145
22	C	118.32	170.20	0.0940
23	S	106.20	151.20	0.0000
24	S	8.27	186.07	0.0000

DISTANCE_MATRIX_MILES
0.0000	93.6385	97.2337	89.3621	42.1342	66.5118	47.7826	109.5569	68.4222	79.9862	114.6074	41.2640	100.2285	71.3510	61.8123	71.2000	53.1080	92.8176	19.3965	95.2689	113.0684	55.0865	72.5511	51.5740	125.7873
93.6385	0.0000	145.1839	116.2056	131.8375	72.5665	140.5320	61.6052	108.1182	33.5278	77.6960	134.8459	108.3154	67.6483	139.0059	155.4645	139.0321	118.2132	104.1864	183.8358	126.3008	75.7693	118.8883	101.0080	63.1171
97.2337	145.1839	0.0000	33.6602	118.9754	72.9009	90.3555	111.3715	165.6481	113.0881	101.7316	101.9745	53.1600	78.7397	147.7671	64.7802	67.8986	33.8253	79.1554	155.3374	209.9847	70.1077	27.7039	49.8851	130.1016
89.3621	116.2056	33.6602	0.0000	121.3056	44.1011	99.5577	77.8089	155.6378	83.0500	68.1773	107.5731	21.1008	48.5608	147.8825	84.1331	79.9682	3.4600	75.3574	165.8325	197.1026	45.6274	23.4274	38.0708	96.4521
42.1342	131.8375	118.9754	121.3056	0.0000	106.9935	33.7550	151.6083	65.5189	121.7365	156.0221	19.0209	135.9643	112.4472	29.2543	68.6252	54.5866	124.6900	46.9501	53.2618	110.2604	95.1216	100.2512	84.0513	167.9171
66.5118	72.5665	72.9009	44.1011	106.9935	0.0000	97.3951	49.3916	123.5499	40.2055	49.6698	99.3899	41.7569	7.2446	128.2480	97.6935	85.5662	46.4585	61.7830	158.3956	160.8305	12.0192	47.8439	35.7797	68.3942
47.7826	140.5320	90.3555	99.5577	33.7550	97.3951	0.0000	146.0260	96.7478	122.5559	146.8128	14.7896	117.2880	104.0460	62.3972	34.8884	22.6949	102.6874	37.7716	66.3796	142.4599	85.5749	76.5923	66.3460	164.1871
109.5569	61.6052	111.3715	77.8089	151.6083	49.3916	146.0260	0.0000	152.7119	37.1422	16.7336	146.5957	61.4011	42.3271	168.9065	146.7453	134.9577	78.2120	109.2191	204.3829	181.0655	60.6944	91.8556	84.7389	19.3979
68.4222	108.1182	165.6481	155.6378	65.5189	123.5499	96.7478	152.7119	0.0000	115.9555	163.3577	82.5059	163.0896	125.6880	48.6121	129.9584	113.1313	159.0326	86.8847	97.8466	46.0825	114.6716	140.6747	118.9651	163.3930
79.9862	33.5278	113.0881	83.0500	121.7365	40.2055	122.5559	37.1422	115.9555	0.0000	50.2799	120.0855	74.8453	34.5899	135.6890	131.2723	116.4445	84.9277	84.7955	174.9978	144.1264	45.7739	87.7599	72.2938	48.2091
114.6074	77.6960	101.7316	68.1773	156.0221	49.6698	146.8128	16.7336	163.3577	50.2799	0.0000	149.0492	49.4456	43.6408	175.5259	143.5406	133.4630	67.9419	111.4323	207.9213	194.1242	61.6784	85.3950	82.3960	30.0701
41.2640	134.8459	101.9745	107.5731	19.0209	99.3899	14.7896	146.5957	82.5059	120.0855	149.0492	0.0000	123.8712	105.5570	47.9729	49.6140	35.9350	110.8546	37.6215	59.5170	128.0051	87.3739	85.4239	71.8795	164.0243
100.2285	108.3154	53.1600	21.1008	135.9643	41.7569	117.2880	61.4011	163.0896	74.8453	49.4456	123.8712	0.0000	43.1310	160.9958	104.5534	99.0071	19.6946	89.0843	182.9930	202.0181	48.5538	43.3891	52.0939	78.9398
71.3510	67.6483	78.7397	48.5608	112.4472	7.2446	104.0460	42.3271	125.6880	34.5899	43.6408	105.5570	43.1310	0.0000	132.8047	104.9249	92.6645	50.5890	67.9422	164.2913	161.5653	18.4764	54.4251	43.0243	61.2282
61.8123	139.0059	147.7671	147.8825	29.2543	128.2480	62.3972	168.9065	48.6121	135.6890	175.5259	47.9729	160.9958	132.8047	0.0000	97.2069	83.7949	151.3177	72.5322	49.8023	88.2661	116.8980	127.8293	109.9791	183.5345
71.2000	155.4645	64.7802	84.1331	68.6252	97.6935	34.8884	146.7453	129.9584	131.2723	143.5406	49.6140	104.5534	104.9249	97.2069	0.0000	18.0953	86.5998	53.8288	92.6813	175.9822	87.5362	61.1690	62.0162	165.9686
53.1080	139.0321	67.8986	79.9682	54.5866	85.5662	22.6949	134.9577	113.1313	116.4445	133.4630	35.9350	99.0071	92.6645	83.7949	18.0953	0.0000	82.8908	36.0625	87.7559	159.2136	74.5545	56.5753	51.0860	153.8670
92.8176	118.2132	33.8253	3.4600	124.6900	46.4585	102.6874	78.2120	159.0326	84.9277	67.9419	110.8546	19.6946	50.5890	151.3177	86.5998	82.8908	0.0000	78.7969	168.9993	200.3989	48.5532	26.3168	41.5282	96.6277
19.3965	104.1864	79.1554	75.3574	46.9501	61.7830	37.7716	109.2191	86.8847	84.7955	111.4323	37.6215	89.0843	67.9422	72.5322	53.8288	36.0625	78.7969	0.0000	96.7325	132.0558	49.7643	56.0981	37.4813	126.9748
95.2689	183.8358	155.3374	165.8325	53.2618	158.3956	66.3796	204.3829	97.8466	174.9978	207.9213	59.5170	182.9930	164.2913	49.8023	92.6813	87.7559	168.9993	96.7325	0.0000	132.8447	146.3871	142.9651	131.2147	221.0098
113.0684	126.3008	209.9847	197.1026	110.2604	160.8305	142.4599	181.0655	46.0825	144.1264	194.1242	128.0051	202.0181	161.5653	88.2661	175.9822	159.2136	200.3989	132.0558	132.8447	0.0000	153.6356	184.1266	161.8935	187.9303
55.0865	75.7693	70.1077	45.6274	95.1216	12.0192	85.5749	60.6944	114.6716	45.7739	61.6784	87.3739	48.5538	18.4764	116.8980	87.5362	74.5545	48.5532	49.7643	146.3871	153.6356	0.0000	43.1974	26.6500	79.3741
72.5511	118.8883	27.7039	23.4274	100.2512	47.8439	76.5923	91.8556	140.6747	87.7599	85.3950	85.4239	43.3891	54.4251	127.8293	61.1690	56.5753	26.3168	56.0981	142.9651	184.1266	43.1974	0.0000	22.5365	111.1884
51.5740	101.0080	49.8851	38.0708	84.0513	35.7797	66.3460	84.7389	118.9651	72.2938	82.3960	71.8795	52.0939	43.0243	109.9791	62.0162	51.0860	41.5282	37.4813	131.2147	161.8935	26.6500	22.5365	0.0000	103.9529
125.7873	63.1171	130.1016	96.4521	167.9171	68.3942	164.1871	19.3979	163.3930	48.2091	30.0701	164.0243	78.9398	61.2282	183.5345	165.9686	153.8670	96.6277	126.9748	221.0098	187.9303	79.3741	111.1884	103.9529	0.0000

SPEED_MATRIX_KMH
0	30	60	40	30	60	30	30	30	60	30	60	60	80	60	60	80	80	40	40	30	40	80	80	60
40	0	80	60	60	60	40	30	60	30	80	30	60	60	40	60	30	80	60	30	40	80	80	80	40
40	60	0	80	80	80	60	40	40	30	60	80	60	30	40	30	60	60	80	80	40	40	60	30	80
30	60	40	0	40	30	40	40	40	30	80	40	30	30	30	80	80	80	30	80	80	80	30	60	30
40	80	80	80	0	30	80	80	40	80	40	40	60	60	80	40	40	80	30	60	60	30	40	40	80
