# AMPL data file for EVRP instance: C10R2
# Auto-generated by export_to_dat.py
# Nodes: 16 (depot_start + 10 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11;

set STATIONS := 12 13 14 15;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.124900
  3  0.149600
  4  0.113600
  5  0.105300
  6  0.071500
  7  0.131400
  8  0.120700
  9  0.084900
  10  0.117300
  11  0.092100
  12  0.000000
  13  0.000000
  14  0.000000
  15  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  12
  14  13
  15  13
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15 :=
    0    0.00000000    0.00000000   24.14032570   23.42565156   34.79075932   16.90025953   42.10673642   55.89137544   95.09781038   82.23282568   19.91529652    7.51014373   34.09172107   34.09172107   26.66070361   26.66070361
    1    0.00000000    0.00000000   24.14032570   23.42565156   34.79075932   16.90025953   42.10673642   55.89137544   95.09781038   82.23282568   19.91529652    7.51014373   34.09172107   34.09172107   26.66070361   26.66070361
    2   24.14032570   24.14032570    0.00000000   28.54100539   16.56133820    9.53124310  104.37675943   42.95919536   46.63789578   35.45691341   53.73336726   40.85710714    8.20089002    8.20089002   18.41090534   18.41090534
    3   38.50798501   38.50798501   36.84343042    0.00000000   12.05086813   79.84290706  100.42081457  143.97565020   22.95458798   46.43871278   12.24089930   43.15052071   34.17256052   34.17256052  100.65642910  100.65642910
    4   53.86774207   53.86774207   35.14352602   39.59433976    0.00000000   17.24581032   60.88894678   54.35296492   25.89233679   10.68901046   44.16291435   47.60184768   31.03362112   31.03362112   42.17163306   42.17163306
    5   16.90025953   16.90025953    7.38344008   51.56695373   43.89424512    0.00000000   31.74772233   77.08635834   70.78595834   17.07130128   24.22441552   80.16962163   24.40128730   24.40128730    8.40930960    8.40930960
    6   16.54350787   16.54350787   41.00906145  100.42081457   60.88894678   31.74772233    0.00000000   17.46815800   41.20162571  117.75832361   60.26462476   38.97316691   46.25142240   46.25142240   53.39055289   53.39055289
    7   34.00052967   34.00052967   55.45579434   92.98741698   54.35296492   36.32684012   17.46815800    0.00000000   54.28284189  103.02216277   67.25983825   50.94758800  157.12056189  157.12056189   45.37668129   45.37668129
    8   95.09781038   95.09781038   76.66516283   22.95458798   25.89233679  109.60036000   53.18695714  115.18939130    0.00000000   89.35675207   22.97625112   64.57162289   41.96969250   41.96969250   39.86336399   39.86336399
    9   25.02824757   25.02824757   35.45691341   71.90267332   35.11981936   17.07130128   76.05482125  103.02216277   27.19647409    0.00000000   49.96044971   41.25299141    7.03974453    7.03974453   23.51445888   23.51445888
