# AMPL data file for EVRP instance: C11R2
# Auto-generated by export_to_dat.py
# Nodes: 17 (depot_start + 11 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12;

set STATIONS := 13 14 15 16;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.146400
  3  0.082000
  4  0.149700
  5  0.072600
  6  0.106100
  7  0.139600
  8  0.143100
  9  0.124300
  10  0.055400
  11  0.129200
  12  0.083300
  13  0.000000
  14  0.000000
  15  0.000000
  16  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  13
  15  14
  16  14
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16 :=
    0    0.00000000    0.00000000   31.06537093   22.47054156   35.60179788   18.00698455   25.61351355   11.37508506   19.99195978   26.57030927   44.29689649   33.53614537   46.33939562    1.97637280    1.97637280   70.76923248   70.76923248
    1    0.00000000    0.00000000   31.06537093   22.47054156   35.60179788   18.00698455   25.61351355   11.37508506   19.99195978   26.57030927   44.29689649   33.53614537   46.33939562    1.97637280    1.97637280   70.76923248   70.76923248
    2   51.06644888   51.06644888    0.00000000   40.11179697   39.30454598   49.80330733   24.89405932   84.32405437   44.02621310   37.51593176   94.57937924   21.73191145   65.21859799   84.82761956   84.82761956  138.19874272  138.19874272
    3   57.19229428   57.19229428  102.09303103    0.00000000   19.43239645  106.22790243    8.66283865   55.56934239   33.79828990   10.66308165   28.42323557   32.00293689   37.61790997   53.80267062   53.80267062   13.49578546   13.49578546
    4   21.65772403   21.65772403  129.13904053   15.05343356    0.00000000   22.28868820   54.75710509   48.15634270   39.01660111   13.23310606   14.79248114   22.20791280  125.18237708   14.80510510   14.80510510    6.52215173    6.52215173
    5   38.21121956   38.21121956   38.58045917   32.33134966   28.77234778    0.00000000   61.44498880   27.40756508   29.96737975   71.44829097   26.14884595   71.17605922   26.16979545   57.94887961   57.94887961   61.12811240   61.12811240
    6   25.61351355   25.61351355   32.13560735    8.66283865   54.75710509   28.95586628    0.00000000   44.14235156   84.91967770    8.03457630   49.47149576    5.62737708   31.06773957   24.63178973   24.63178973   37.39481808   37.39481808
    7   11.37508506   11.37508506   25.66473050   86.03994456   48.15634270   16.67290744   68.34713743    0.00000000   44.98175172   34.54158979   31.76265425   30.92787801   16.02142611   12.78398760   12.78398760   36.76905312   36.76905312
    8   25.80751341   25.80751341   93.42459812   33.79828990   25.19907325   46.39953582   25.84601343   27.36385304    0.00000000   23.09649042    6.81463450  103.20635162   37.06898232   38.96744289   38.96744289   17.55380152   17.55380152
    9   17.16057141   17.16057141   29.06196297   22.62729514   13.23310606   71.44829097   10.37179136   16.27767658   58.78546690    0.00000000   20.80011072   28.71395184   98.12534935    8.34205319    8.34205319   29.29871641   29.29871641
