# AMPL data file for EVRP instance: C12R2
# Auto-generated by export_to_dat.py
# Nodes: 18 (depot_start + 12 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13;

set STATIONS := 14 15 16 17;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.140300
  3  0.125200
  4  0.137300
  5  0.114100
  6  0.137900
  7  0.078200
  8  0.055300
  9  0.109500
  10  0.099400
  11  0.054700
  12  0.145500
  13  0.110600
  14  0.000000
  15  0.000000
  16  0.000000
  17  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  14
  16  15
  17  15
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17 :=
    0    0.00000000    0.00000000   29.82850304   36.62621878   64.72828204   29.46850179    9.61620280   18.82304937   10.50780042   51.78776166   72.62388853   12.11559567   64.55111662   18.60242347   25.00360670   25.00360670   64.85723188   64.85723188
    1    0.00000000    0.00000000   29.82850304   36.62621878   64.72828204   29.46850179    9.61620280   18.82304937   10.50780042   51.78776166   72.62388853   12.11559567   64.55111662   18.60242347   25.00360670   25.00360670   64.85723188   64.85723188
    2   38.50545421   38.50545421    0.00000000  149.60884160   45.07580727   25.48804732   36.13359927  102.09185080   60.07316410   70.00833686  162.80277644   24.17884225  104.98225856   49.03616393  101.76695521  101.76695521   76.10989431   76.10989431
    3   17.26005512   17.26005512   45.53470096    0.00000000   86.36085861   50.70283042   23.26491377   31.42408297   18.21601884   16.50959734   21.79346502   45.71518264    9.67525976   46.61942142   51.76604004   51.76604004   38.93294487   38.93294487
    4   64.72828204   64.72828204   95.65186017  133.71551951    0.00000000  124.48056355   32.95869554   60.51560502   86.67458944   47.79991963   48.29866635  125.97784560   44.73947074   57.38943503   48.25179660   48.25179660   50.15301737   50.15301737
    5   48.44145410   48.44145410   10.01411525   39.27728063  124.48056355    0.00000000   45.28475672   40.68027932   29.96555300  154.92841257   54.04319019   18.70125445  139.35270302  100.65012156   79.75252562   79.75252562  105.51331412  105.51331412
    6    9.61620280    9.61620280   59.39779711   59.21414004   42.54620289   27.54818077    0.00000000   21.37734049   16.73659131   34.07475012   24.95741114    8.34766835   27.93832440   14.83706474   26.46213240   26.46213240   37.45968879   37.45968879
    7   18.82304937   18.82304937   62.10577167   14.80855579   28.51789546  133.65915087   27.59589392    0.00000000   26.40998318   11.36156476   15.01658933   27.47464376    8.14539721   33.42061620   68.76583908   68.76583908   65.88435233   65.88435233
    8   22.29778495   22.29778495   93.01336828   59.85056276   86.67458944   23.21301246   25.91384613   34.09250531    0.00000000   96.49848329   40.27698925   15.20396395   52.81001677   22.82266524   71.52361771   71.52361771   21.99343922   21.99343922
    9   24.40491131   24.40491131  115.08239072   27.13910967   37.02852172   47.15375683   86.72746634   11.36156476   62.32404362    0.00000000   18.74242225  103.97020260    4.76142301   55.45843958   87.21603813   87.21603813   31.10700944   31.10700944
