# AMPL data file for EVRP instance: C13R2
# Auto-generated by export_to_dat.py
# Nodes: 19 (depot_start + 13 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14;

set STATIONS := 15 16 17 18;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.132400
  3  0.133100
  4  0.050300
  5  0.090200
  6  0.107300
  7  0.078300
  8  0.076000
  9  0.142200
  10  0.099200
  11  0.121300
  12  0.134700
  13  0.089600
  14  0.096600
  15  0.000000
  16  0.000000
  17  0.000000
  18  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  15
  17  16
  18  16
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18 :=
    0    0.00000000    0.00000000   34.14869785   49.20678997   28.86021401   54.49961378    1.89786039   31.92224803   29.03387608   26.35052107   98.30124187   67.15293662   14.97170303   46.04572416   31.29706675   49.53214721   49.53214721   17.91488678   17.91488678
    1    0.00000000    0.00000000   34.14869785   49.20678997   28.86021401   54.49961378    1.89786039   31.92224803   29.03387608   26.35052107   98.30124187   67.15293662   14.97170303   46.04572416   31.29706675   49.53214721   49.53214721   17.91488678   17.91488678
    2   10.39344151   10.39344151    0.00000000   40.83611121   17.41205576   46.85882539    8.96295877  110.69811134   14.08840569   29.99588599   67.65813821   39.35381349   18.99517095   41.29430516   13.88355111   38.71466370   38.71466370   23.72193737   23.72193737
    3   49.20678997   49.20678997   19.24396112    0.00000000   35.77161861  101.32295236   51.01441892   99.32432610   47.27991776   62.18569059   15.09382126   58.52709606    6.12801931   29.05906586  100.93212445   30.00269018   30.00269018   16.31058864   16.31058864
    4   22.35675435   22.35675435   17.41205576   75.90816601    0.00000000   64.76301800   27.36121799   45.14067980   58.82056125   43.26102181  104.47221391   75.66167794  111.04941733   88.07199114   59.61902018   18.91307284   18.91307284   99.50470438   99.50470438
    5   54.49961378   54.49961378   28.50573760   65.43995188   64.76301800    0.00000000   35.62041340   35.57699437  118.83379896   18.64762334   97.46246456   36.50900804   33.46335675   83.65864891   32.56286207   11.02296698   11.02296698   64.44708215   64.44708215
    6    1.89786039    1.89786039   29.44870288   32.94792583   69.64010312   35.62041340    0.00000000  104.01355696   21.38059678   27.82586441   99.54901684   28.03472316   16.29728793   29.90720555   22.79334004   48.68829428   48.68829428   20.96515082   20.96515082
    7   67.73971648   67.73971648   43.49268626   60.42219697   27.46053413   35.57699437   31.65739512    0.00000000   46.89663153   36.79013348   61.83223118   31.84837402  139.17481445  135.86279748   83.08834277   55.37029372   55.37029372   36.28234561   36.28234561
    8   47.72699967   47.72699967   14.08840569   47.27991776   58.82056125   76.74942256   70.24810200   99.51568953    0.00000000  140.96328126   36.72566897   42.79416956   84.35686955   54.07418334   12.50259312   68.41982759   68.41982759   28.40168970   28.40168970
    9   67.06766508   67.06766508   63.65193363   29.30492098   33.51243471   14.44550391   21.55548864   36.79013348  140.96328126    0.00000000   91.50812762    7.32322235   49.25666955   13.66708082   43.01294842   24.50551844   24.50551844   55.21116807   55.21116807
