# AMPL data file for EVRP instance: C14R2
# Auto-generated by export_to_dat.py
# Nodes: 20 (depot_start + 14 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

set STATIONS := 16 17 18 19;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.051000
  3  0.055200
  4  0.128900
  5  0.141100
  6  0.095200
  7  0.097500
  8  0.130300
  9  0.147000
  10  0.075000
  11  0.067700
  12  0.074100
  13  0.126000
  14  0.128300
  15  0.145100
  16  0.000000
  17  0.000000
  18  0.000000
  19  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  16
  18  17
  19  17
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19 :=
    0    0.00000000    0.00000000   48.71563340   74.50201821   39.27875010   17.58646161   53.42541188   19.48358995    5.25200065   57.90360905   30.94695072   47.70990712   46.58299596   16.50491387   54.13305793   30.64410867   71.38218157   71.38218157   21.49213682   21.49213682
    1    0.00000000    0.00000000   48.71563340   74.50201821   39.27875010   17.58646161   53.42541188   19.48358995    5.25200065   57.90360905   30.94695072   47.70990712   46.58299596   16.50491387   54.13305793   30.64410867   71.38218157   71.38218157   21.49213682   21.49213682
    2   29.63529392   29.63529392    0.00000000  100.52788305   36.87593787   41.85460196   60.12864032  125.05399072   32.74110324   26.10073297   54.47414566   68.12955953   32.01753092   63.72578710    9.68118976   98.09162793   43.44449362   43.44449362   15.67016295   15.67016295
    3   48.11751309   48.11751309   64.92645226    0.00000000   51.44007860   37.94076855   42.46620784  133.34656839   50.16233272    6.95219200   44.80959352   12.87086965   94.61496016   25.01345490   50.57837157   38.49946506   39.80426472   39.80426472  107.82027662  107.82027662
    4   39.27875010   39.27875010   78.25155590  130.92591050    0.00000000   67.10271583   38.24875801    3.91283004   21.56537195   74.99028157    5.56368504   60.45944906   15.97772589   76.90447206   32.48782162   31.35704647  130.10441340  130.10441340   71.07158541   71.07158541
    5   57.78208911   57.78208911   64.80493519   37.94076855   67.10271583    0.00000000   67.47554109   27.83646733   60.96324461   32.55559617   52.81986598   32.03784627   12.46176801   24.31592062   40.20297721   33.49488964   28.10575624   28.10575624   32.41008681   32.41008681
    6   32.50040435   32.50040435   60.12864032  139.52699870   38.24875801   41.04755194    0.00000000   13.75760566   22.79455507  128.06835571   20.65735014   63.13595882   50.23689793   30.12305135  135.22405933    5.70110528   99.43189390   99.43189390   43.73747264   43.73747264
    7   19.48358995   19.48358995   49.13303323  133.34656839    1.19090252   21.56370227   22.61528014    0.00000000   57.86680176   36.14745264   14.78399361   95.46556387   27.89038261   31.51401886   43.42012839   18.20349264   86.32295720   86.32295720  113.95535652  113.95535652
    8    5.25200065    5.25200065   83.33305214   77.66808352   35.44998598   39.37342627   74.89380422   37.37357267    0.00000000   24.29314630   46.82298664   46.73144012   27.67300038    9.46116343   24.45937377   27.45134284   31.06693941   31.06693941   30.64774754   30.64774754
    9   37.39734484   37.39734484   26.10073297   17.69480319   45.61901140  106.96468688   50.31736086   46.66255229   61.83120991    0.00000000   52.25424502   13.76974570   39.42016852   18.14122399   62.50507866   75.30767363   15.39787113   15.39787113   27.93278413   27.93278413
   10   23.97325866   23.97325866   89.54669109  147.22642816   11.80626274   32.13203121   31.98449332    4.49963198   22.06526792   85.89753323    0.00000000   33.00248533   31.32203279   61.34876563   38.00460639   18.84757313   95.83193053   95.83193053   49.89863952   49.89863952
   11   18.74496319   18.74496319   32.10596103   12.87086965   36.77943645   32.03784627   63.13595882   29.05574200   14.22310425   22.63523639   70.03200394    0.00000000  116.66863633   30.03787121   80.85291176   33.09466992   31.42496058   31.42496058  106.73042966  106.73042966
   12   46.58299596   46.58299596   32.01753092   94.61496016   12.37725031   12.46176801   50.23689793   13.14330436   27.67300038   39.42016852   19.05420464   75.35104109    0.00000000   25.53958209   98.80927822   57.61715288  127.41245148  127.41245148   27.69257210   27.69257210
   13    5.02340844    5.02340844   25.03751537   19.37683714   49.66915032   18.83648763   30.12305135   24.41254171    9.46116343   29.82124017   28.91052125   30.03787121   32.96890922    0.00000000   15.91796681   36.66493744   16.73751800   16.73751800   18.81733871   18.81733871
   14   21.26858422   21.26858422    7.49959724   23.83498789   41.93835428   24.45677009  135.22405933   71.37567330   18.94761456   24.55790566   80.64661548   80.85291176   98.80927822   40.51460174    0.00000000   51.86206237   30.33000184   30.33000184    8.98849877    8.98849877
   15   23.73866007   23.73866007  151.87867745   81.69671652   48.55120510   43.23837296    5.70110528   18.20349264   21.26536305   75.30767363   47.97107118   54.40228843   35.05037584   36.66493744   40.17528728    0.00000000  147.54132606  147.54132606   93.13541296   93.13541296
   16   21.72576338   21.72576338   43.44449362   24.21422040   39.59836527   92.34429007   46.85714296   86.32295720   24.06620869   50.59125490   45.16066518   79.98318993   38.77904417   54.99279947    9.23118947   44.90543533    0.00000000    0.00000000   16.89241041   16.89241041
   17   21.72576338   21.72576338   43.44449362   24.21422040   39.59836527   92.34429007   46.85714296   86.32295720   24.06620869   50.59125490   45.16066518   79.98318993   38.77904417   54.99279947    9.23118947   44.90543533    0.00000000    0.00000000   16.89241041   16.89241041
   18   70.61457801   70.61457801   10.12065564   42.36200064   43.23514190   32.41008681   92.81188448   73.59865532   30.64774754   91.77597280  127.00262112   32.48429803   35.74819245   61.82625969   29.53261710   93.13541296   21.80632179   21.80632179    0.00000000    0.00000000
   19   70.61457801   70.61457801   10.12065564   42.36200064   43.23514190   32.41008681   92.81188448   73.59865532   30.64774754   91.77597280  127.00262112   32.48429803   35.74819245   61.82625969   29.53261710   93.13541296   21.80632179   21.80632179    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19 :=
    0    0.00000000    0.00000000    5.74840893    5.67783117    4.63486364    4.40359811    6.30415933    4.87863346    0.61973222    4.41285920    6.00283326    3.63599275    5.49675928    1.25784666    4.12550386    5.94409046    5.44006707    5.44006707    5.38156767    5.38156767
    1    0.00000000    0.00000000    5.74840893    5.67783117    4.63486364    4.40359811    6.30415933    4.87863346    0.61973222    4.41285920    6.00283326    3.63599275    5.49675928    1.25784666    4.12550386    5.94409046    5.44006707    5.44006707    5.38156767    5.38156767
    2    5.74840893    5.74840893    0.00000000    7.66127364    9.23362608    4.93881227   11.66325578    9.53041896    6.35084811    6.53554655   10.56644373    8.03923794    8.01709531    4.85656992    1.87787703   11.57473999    3.31092373    3.31092373    1.19422993    1.19422993
    3    5.67783117    5.67783117    7.66127364    0.00000000    9.97792052    9.50025654   10.63341319   10.16239991    5.91911839    1.34852864   11.22019005    3.22282780   11.16449575    4.85190287    5.96821067    9.64015250    4.69687398    4.69687398    8.21703012    8.21703012
    4    4.63486364    4.63486364    9.23362608    9.97792052    0.00000000    5.11392713    2.91495446    0.29819848    4.18307229    8.84879810    1.39313032    7.13417055    3.09922697    5.86092323    8.13485471    3.70010843    9.91531387    9.91531387    8.38639484    8.38639484
    5    4.40359811    4.40359811    4.93881227    9.50025654    5.11392713    0.00000000    7.96206425    5.39948745    4.64603536    8.15182526    6.23270536    8.02218221    3.12038995    4.71660094    4.74392176    8.38702157    7.03759846    7.03759846    3.82436642    3.82436642
    6    6.30415933    6.30415933   11.66325578   10.63341319    2.91495446    7.96206425    0.00000000    2.66858643    5.70768936    9.76014503    2.43755213    7.44999673    5.92791703    7.54272321   10.30548431    1.42753995   11.73289039   11.73289039   10.95173414   10.95173414
    7    4.87863346    4.87863346    9.53041896   10.16239991    0.29819848    5.39948745    2.66858643    0.00000000    4.41005410    9.05121552    1.12669458    7.27547210    3.29104465    6.11282844    8.42227698    3.53096278   10.18604550   10.18604550    8.68458723    8.68458723
    8    0.61973222    0.61973222    6.35084811    5.91911839    4.18307229    4.64603536    5.70768936    4.41005410    0.00000000    4.71218337    5.52507801    3.56142335    5.36777948    1.83519814    4.74442680    5.32478418    6.02610767    6.02610767    5.94479630    5.94479630
    9    4.41285920    4.41285920    6.53554655    1.34852864    8.84879810    8.15182526    9.76014503    9.05121552    4.71218337    0.00000000   10.13584578    2.67094126    9.87069393    3.51888442    4.76353920    8.88625013    3.85558152    3.85558152    6.99428676    6.99428676
   10    6.00283326    6.00283326   10.56644373   11.22019005    1.39313032    6.23270536    2.43755213    1.12669458    5.52507801   10.13584578    0.00000000    8.26372499    3.69597685    7.23910925    9.51624135    3.65589618   11.30809736   11.30809736    9.67892493    9.67892493
   11    3.63599275    3.63599275    8.03923794    3.22282780    7.13417055    8.02218221    7.44999673    7.27547210    3.56142335    2.67094126    8.26372499    0.00000000    8.89136746    3.54444672    6.16183553    6.41943005    6.09555365    6.09555365    8.13397241    8.13397241
   12    5.49675928    5.49675928    8.01709531   11.16449575    3.09922697    3.12038995    5.92791703    3.29104465    5.36777948    9.87069393    3.69597685    8.89136746    0.00000000    6.39503603    7.53029802    6.79878169    9.71015828    9.71015828    6.93413837    6.93413837
   13    1.25784666    1.25784666    4.85656992    4.85190287    5.86092323    4.71660094    7.54272321    6.11282844    1.83519814    3.51888442    7.23910925    3.54444672    6.39503603    0.00000000    3.08763540    7.11196098    4.19102514    4.19102514    4.71180611    4.71180611
   14    4.12550386    4.12550386    1.87787703    5.96821067    8.13485471    4.74392176   10.30548431    8.42227698    4.74442680    4.76353920    9.51624135    6.16183553    7.53029802    3.08763540    0.00000000   10.05977344    2.31146262    2.31146262    2.25069358    2.25069358
   15    5.94409046    5.94409046   11.57473999    9.64015250    3.70010843    8.38702157    1.42753995    3.53096278    5.32478418    8.88625013    3.65589618    6.41943005    6.79878169    7.11196098   10.05977344    0.00000000   11.24418856   11.24418856   10.98991027   10.98991027
   16    5.44006707    5.44006707    3.31092373    4.69687398    9.91531387    7.03759846   11.73289039   10.18604550    6.02610767    3.85558152   11.30809736    6.09555365    9.71015828    4.19102514    2.31146262   11.24418856    0.00000000    0.00000000    4.22980974    4.22980974
   17    5.44006707    5.44006707    3.31092373    4.69687398    9.91531387    7.03759846   11.73289039   10.18604550    6.02610767    3.85558152   11.30809736    6.09555365    9.71015828    4.19102514    2.31146262   11.24418856    0.00000000    0.00000000    4.22980974    4.22980974
   18    5.38156767    5.38156767    1.19422993    8.21703012    8.38639484    3.82436642   10.95173414    8.68458723    5.94479630    6.99428676    9.67892493    8.13397241    6.93413837    4.71180611    2.25069358   10.98991027    4.22980974    4.22980974    0.00000000    0.00000000
   19    5.38156767    5.38156767    1.19422993    8.21703012    8.38639484    3.82436642   10.95173414    8.68458723    5.94479630    6.99428676    9.67892493    8.13397241    6.93413837    4.71180611    2.25069358   10.98991027    4.22980974    4.22980974    0.00000000    0.00000000
;

