# AMPL data file for EVRP instance: C15R2
# Auto-generated by export_to_dat.py
# Nodes: 21 (depot_start + 15 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;

set STATIONS := 17 18 19 20;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.133000
  3  0.109200
  4  0.053700
  5  0.060600
  6  0.121100
  7  0.052100
  8  0.131800
  9  0.122000
  10  0.058000
  11  0.067400
  12  0.096900
  13  0.147200
  14  0.088600
  15  0.132100
  16  0.053000
  17  0.000000
  18  0.000000
  19  0.000000
  20  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  17
  19  18
  20  18
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20 :=
    0    0.00000000    0.00000000   25.50845294   50.63648706   33.18580009   57.92789285   27.70298971   17.01039013   47.94672471    8.91662847   49.29645284   20.85337629   67.13042110   35.31231907    7.52917911   19.81814834   85.93463261    8.07820354    8.07820354   38.71765456   38.71765456
    1    0.00000000    0.00000000   25.50845294   50.63648706   33.18580009   57.92789285   27.70298971   17.01039013   47.94672471    8.91662847   49.29645284   20.85337629   67.13042110   35.31231907    7.52917911   19.81814834   85.93463261    8.07820354    8.07820354   38.71765456   38.71765456
    2   54.12950143   54.12950143    0.00000000   53.39559630   23.72359996    8.64971214   85.16776354   27.73660489   62.05796441   84.24029984   53.81850362   25.58565615  145.92795335   36.05992166   92.49591054   10.16107859  111.28567060   40.57685119   40.57685119   36.21510568   36.21510568
    3   30.80381127   30.80381127  135.90311782    0.00000000   33.00710246   54.02239214    3.54579923   13.95560257   78.91298417   91.43664316   82.36450323   34.01690023   70.03391190   25.07791941   43.73476962   42.61452586   17.94638745   51.70566773   51.70566773   82.85108511   82.85108511
    4   21.43322032   21.43322032   60.38159369   70.04180158    0.00000000   20.69378719   30.83129413   49.15956975   40.78549036   26.67586074   29.71146379   45.75138235   86.07204116   20.41889811   28.90717167    9.53587117   32.19371072   47.55589139   47.55589139   18.30260210   18.30260210
    5   57.92789285   57.92789285    3.39842488   54.02239214   43.91267419    0.00000000  133.97716262   59.48427420  105.60446045   35.77212744   36.03305972   54.95136896   60.11436715   48.66349316   63.15787460   25.47155086  110.24021594   43.03848592   43.03848592   82.08377498   82.08377498
    6   21.46030295   21.46030295   40.13519119    9.02481112   39.79995185   52.63889897    0.00000000   43.89496370   21.65497555   25.35110616   46.91592449   19.74659430   64.31415115   54.80564919   59.56344996   66.68445878   19.47703538   21.69278738   21.69278738   46.89493823   46.89493823
    7   55.88934830   55.88934830   58.85768916   29.61409738   29.90535475   28.03188223   43.89496370    0.00000000   38.67770465   27.24822472   30.99622272    4.56544373   34.12016996   42.11661156   32.60237844   43.18403896    9.22319456   69.08998989   69.08998989   74.56898293   74.56898293
    8   47.94672471   47.94672471  102.01326339   31.00448255   67.04475420   49.76595644   71.14960105   98.44296189    0.00000000   49.82054968   31.40960127   39.78382788   41.69570842   25.67322760   20.02522739   37.91304150   46.14859287   17.12613418   17.12613418   81.01028087   81.01028087
    9    8.91662847    8.91662847   33.09755592   91.43664316   10.48080069   27.71111350   53.79560807   69.35251127   23.47786537    0.00000000   23.32658901   66.14333114   40.12279124   12.57192291    9.32501940   51.82569621   64.27635287   13.51651865   13.51651865   14.49167517   14.49167517
