# AMPL data file for EVRP instance: C16R2
# Auto-generated by export_to_dat.py
# Nodes: 22 (depot_start + 16 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

set STATIONS := 18 19 20 21;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.063100
  3  0.057700
  4  0.122300
  5  0.069400
  6  0.059800
  7  0.103300
  8  0.117200
  9  0.101900
  10  0.114600
  11  0.087700
  12  0.105800
  13  0.081600
  14  0.118900
  15  0.098100
  16  0.062800
  17  0.095100
  18  0.000000
  19  0.000000
  20  0.000000
  21  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  18
  20  19
  21  19
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21 :=
    0    0.00000000    0.00000000   27.59670599   23.68349757   13.33784914   39.57494831   13.35827074   21.92082479   92.86877393   28.82641224   18.88953598   70.73186630   19.37579221   36.06217070   64.73267794   65.63457620   27.28540394   39.31297028   29.18140727   29.18140727   25.67457227   25.67457227
    1    0.00000000    0.00000000   27.59670599   23.68349757   13.33784914   39.57494831   13.35827074   21.92082479   92.86877393   28.82641224   18.88953598   70.73186630   19.37579221   36.06217070   64.73267794   65.63457620   27.28540394   39.31297028   29.18140727   29.18140727   25.67457227   25.67457227
    2   27.59670599   27.59670599    0.00000000   45.10385023   59.77227333   45.87690288   62.70021316   21.12074981   57.08070790   89.10836278   46.33081493   57.58491137   59.20634291   55.53160428   44.67957367   30.23634104   34.51895208   74.19332293  113.25657699  113.25657699   53.03451691   53.03451691
    3   23.68349757   23.68349757   95.71136795    0.00000000   70.68555828   25.14931347   34.42210563   27.52528634   47.55756092  105.27235016   37.52971615  119.43173771   26.43697964   31.83471021   41.60938136   55.50325653   74.09823198   25.71240080   95.07374767   95.07374767   58.53653274   58.53653274
    4   33.94765502   33.94765502   28.16760143   43.00030912    0.00000000   20.15171233   16.98254157   38.43098280   40.53640647    1.74580812   51.02988820   54.02295544   26.44932595  102.30237746   82.70533223   31.99343566   25.54111412  117.89158035   40.45336272   40.45336272   35.01433218   35.01433218
    5   61.27526820   61.27526820  150.73318042   53.36739952   20.15171233    0.00000000   61.16044462   82.33639946   32.36780508   26.15624918   16.78542483   16.05784383   13.05754733   36.55179044   38.11665674   26.88243664   38.76927249   36.82459527   34.13968518   34.13968518   15.24848407   15.24848407
    6   33.99963233   33.99963233   19.08333375   56.58437819   16.98254157   28.82177523    0.00000000   42.04789266   46.58108545   32.39951567   59.03827519   66.55564556   26.87363980   48.21575496    9.35463683   24.76803609   20.99438905   49.77651770   36.71650905   36.71650905   35.69344338   35.69344338
    7   46.51647512   46.51647512   27.26466239   27.52528634   63.17432432   38.80091477   12.79762745    0.00000000   48.87324734   28.04823658   46.02650241  142.74871407   42.56690682   45.34554461    8.02592527   79.21935675   27.45300542   57.31619944   41.13501760   41.13501760   58.10715236   58.10715236
    8   92.86877393   92.86877393  145.28250845   47.55756092   19.10272568   32.36780508   46.58108545   48.87324734    0.00000000   20.82659030   32.56660437   16.49008545   78.75334992   73.42075076  144.49741943   18.11556367   38.36413420   89.33243211   21.03976761   21.03976761   61.27987273   61.27987273
    9    8.77355942    8.77355942   35.01019139   67.99069084    2.25365432   26.15624918   15.26822710   59.51897848   20.82659030    0.00000000   23.60123983   37.34392190   25.68893396  102.17550810   30.43079543   36.81127781   35.73692025   75.29782442   13.98517648   13.98517648   27.34402771   27.34402771
