# AMPL data file for EVRP instance: C17R2
# Auto-generated by export_to_dat.py
# Nodes: 23 (depot_start + 17 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

set STATIONS := 19 20 21 22;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.050400
  3  0.135000
  4  0.133500
  5  0.097200
  6  0.131100
  7  0.100500
  8  0.092700
  9  0.050600
  10  0.143600
  11  0.066900
  12  0.127500
  13  0.100700
  14  0.084900
  15  0.092300
  16  0.126800
  17  0.085100
  18  0.057000
  19  0.000000
  20  0.000000
  21  0.000000
  22  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  19
  21  20
  22  20
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22 :=
    0    0.00000000    0.00000000   55.72774755   28.98562964   42.03456919   10.72925235   30.51682125   38.09290590   73.46167345   20.83866773    8.98023654    5.82269842    8.98230210    3.42744176   16.14520814   23.18560132    7.49535262   29.55931676    2.19803603   20.56244211   20.56244211   82.92633563   82.92633563
    1    0.00000000    0.00000000   55.72774755   28.98562964   42.03456919   10.72925235   30.51682125   38.09290590   73.46167345   20.83866773    8.98023654    5.82269842    8.98230210    3.42744176   16.14520814   23.18560132    7.49535262   29.55931676    2.19803603   20.56244211   20.56244211   82.92633563   82.92633563
    2   21.89512911   21.89512911    0.00000000   29.22726962   13.45579881    6.47896946  100.59654740   34.22761415   39.00827231   35.30754888   40.22731662   50.66431058   77.09066423   37.00445936   45.87337527   36.58909286   15.47145354  128.19314918   18.22860659   14.60534616   14.60534616   67.09095783   67.09095783
    3   28.98562964   28.98562964   22.64109639    0.00000000   13.55561369   19.63221279   33.51712423   33.37586500   33.54487610   24.69044408   65.59480620   17.97242901   40.28978805   53.09734554   40.05131640   77.55774150   77.21154543   66.63180934   78.89150660   62.64958320   62.64958320  155.08721884  155.08721884
    4   25.57098668   25.57098668   13.45579881   28.76531211    0.00000000   14.13178217   64.13459645  102.58996931   38.78166864   68.97777757   54.15337674   16.10691583   36.60489604   21.53558640   29.22011735   42.30208471   25.12387586   48.79700215   45.57461224   17.01712141   17.01712141  132.56547148  132.56547148
    5   10.72925235   10.72925235   13.74851651   64.50361047   23.23036584    0.00000000   51.22599576   44.94122042  106.94823937   28.96784651   14.67614149   18.99634028   38.56496603   24.69800117   11.98960616   39.26798629   31.40978868  106.91151193   15.67682875   38.87719651   38.87719651   38.07198917   38.07198917
    6   18.56436844   18.56436844   30.61739971   55.09673504   39.01514736   79.31498999    0.00000000   49.03968010    8.59132876   27.25567530   42.57576004   50.14557536   19.74948030   50.73960184   55.21647255   24.87239922   21.33223313   28.00012461   13.84965169   45.03346657   45.03346657  108.43705815  108.43705815
    7   24.60249994   24.60249994   56.26466563   70.82432384  102.58996931   21.17848818   19.26742376    0.00000000   24.73784165   49.27033469   11.08733178   15.94021329   10.02619285    9.69759207   33.43316699   87.31678212   11.79051084   21.50265901   12.76861650   59.16992457   59.16992457   38.36457845   38.36457845
    8   47.44560106   47.44560106  128.16560360   71.18296914  127.42107445   69.07307254   18.23098967   24.73784165    0.00000000   13.39127155   86.49288975   23.76522069   43.96357036   22.90704283   32.98703011   13.59116555   31.40720539    7.87054962   45.65392158   42.90118968   42.90118968  119.56675098  119.56675098
    9   26.90052415   26.90052415   35.30754888   52.39366852   68.97777757   61.47041110    8.29549250   29.97273663   13.39127155    0.00000000   27.81665127   42.79656797   49.76233106   73.94535792  109.00186235   11.86887256   23.11449758    7.20995766   68.29212611  133.05330774  133.05330774  135.67516815  135.67516815
