# AMPL data file for EVRP instance: C18R2
# Auto-generated by export_to_dat.py
# Nodes: 24 (depot_start + 18 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

set STATIONS := 20 21 22 23;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.127100
  3  0.091700
  4  0.129500
  5  0.136900
  6  0.070700
  7  0.116300
  8  0.099200
  9  0.112700
  10  0.084300
  11  0.120800
  12  0.064400
  13  0.052200
  14  0.146600
  15  0.124600
  16  0.124200
  17  0.088700
  18  0.110700
  19  0.134300
  20  0.000000
  21  0.000000
  22  0.000000
  23  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  20
  22  21
  23  21
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23 :=
    0    0.00000000    0.00000000   25.24069623   36.01241853   12.29186142   94.22577312   31.34918839   52.08927123    5.45719955   30.08874139   39.62823469   47.94270252   66.95971833   24.12015615   20.14084994   18.63303648   75.91929831   31.66016979   69.84936971   39.32840412   33.09005859   33.09005859   42.46235197   42.46235197
    1    0.00000000    0.00000000   25.24069623   36.01241853   12.29186142   94.22577312   31.34918839   52.08927123    5.45719955   30.08874139   39.62823469   47.94270252   66.95971833   24.12015615   20.14084994   18.63303648   75.91929831   31.66016979   69.84936971   39.32840412   33.09005859   33.09005859   42.46235197   42.46235197
    2   64.24292547   64.24292547    0.00000000   23.20404552   21.73395639   20.44171643   54.34943273   43.12368739   77.89331856   12.54679603   98.88987799   16.64315853  131.12519680   67.94616956    5.18351974   72.00978706  112.81265398  130.24174210   44.75732004   80.82943813  132.25464553  132.25464553   62.56342267   62.56342267
    3   27.89725657   27.89725657   76.23922628    0.00000000   47.61303762   16.06681934   79.37699567   46.87483032   42.96981788   11.02161361   75.34734753   39.11847581  143.39232259  140.66299449   28.18611282   38.95206488   48.04495897   31.13383737   63.28420181   61.34076140   65.42308962   65.42308962   49.75245722   49.75245722
    4    9.52197119    9.52197119   33.65144020   73.72092130    0.00000000   71.64382469   17.13412909   18.43030208   46.90629469   32.04417063   38.77418404   61.58585462   29.87934002   46.07016671   22.64972659   30.91918863   33.84456005   30.31799126   35.92765789   27.38684547   65.99532352   65.99532352  128.50485340  128.50485340
    5   37.02079410   37.02079410   43.37777446   16.06681934   28.14846931    0.00000000   49.01094278   43.25506159   72.43650019   25.96231039  125.99809930   78.29456240   45.97002301   40.77952322   62.25876526   86.82846400   34.71481530   35.16174491  162.03397524   95.56832237  114.93039030  114.93039030   55.35478425   55.35478425
    6    9.54138742    9.54138742   33.06251609   37.40629981   22.11835513   49.01094278    0.00000000   25.88868539    9.58152745   41.36058911   45.96089720   46.43969254   56.25702195   71.29060249   87.48628725   15.18906294   64.71709210   38.18118673   24.91736524   27.91176406   30.93537387   30.93537387   36.86701953   36.86701953
    7   31.68758682   31.68758682   27.85165613   36.31189522   60.55461188   43.25506159   25.88868539    0.00000000   55.74936119   54.40703255   43.31925826   19.48263126   42.73480305   20.76264902   30.91563688   36.94074773   94.74444374   48.32276445   30.77610733   11.80999997   49.22349277   49.22349277   56.99800339   56.99800339
    8   11.58029816   11.58029816   30.60386148   33.28685167   46.90629469   34.13560088    5.82875275   26.27180962    0.00000000   28.65563161   82.93216411   29.86266073   21.53597864   77.93755117   31.64674361   35.31758866   85.92233690   33.32984776   34.31763630   38.84659854   57.53670907   57.53670907   43.27451074   43.27451074
    9   49.46102775   49.46102775   26.62457872   11.02161361   32.04417063   25.96231039   67.99012360   25.63923910   60.80788418    0.00000000  176.39999458   61.56286991   54.65408164   32.92379979   23.49180821   47.53218015   28.04172400  116.09816332  141.05861293   47.93813406   35.49293862   35.49293862   92.85329241   92.85329241
   10   65.14241293   65.14241293  153.11463576   75.34734753   38.77418404  125.99809930   21.65900946   43.31925826   53.56216634  176.39999458    0.00000000   48.81598075   67.01712492  116.40579558  101.38642051   27.65286110   98.33027788  136.91551778   16.19414471   39.79354819   43.18404938   43.18404938   58.92429889   58.92429889
   11   29.16509508   29.16509508   54.68277194  128.52768828   24.19674754  121.22619269   46.43969254    7.65461993   23.13330629   95.31993157   80.24558249    0.00000000   82.75047879    4.16503617   38.64515200   70.95148693  145.91597701  154.57175716   53.71882550   18.37738709  157.99092246  157.99092246   71.62603542   71.62603542
