# AMPL data file for EVRP instance: C19R2
# Auto-generated by export_to_dat.py
# Nodes: 25 (depot_start + 19 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set STATIONS := 21 22 23 24;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.050900
  3  0.136700
  4  0.054600
  5  0.117100
  6  0.136800
  7  0.069100
  8  0.120300
  9  0.086900
  10  0.119900
  11  0.113100
  12  0.146200
  13  0.115200
  14  0.087600
  15  0.086700
  16  0.134300
  17  0.064700
  18  0.093300
  19  0.058100
  20  0.122700
  21  0.000000
  22  0.000000
  23  0.000000
  24  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  21
  23  22
  24  22
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24 :=
    0    0.00000000    0.00000000    9.62201701   89.71771897    7.54635171   31.51120234    6.71303343   18.70200777   51.49682323   17.41605311   44.71876236   73.06078542   25.61245728   64.37608256   78.67497436   10.93242873   26.64978699   62.57166711   61.43135983    5.80506351   40.27857376   37.98314075   37.98314075   10.79593963   10.79593963
    1    0.00000000    0.00000000    9.62201701   89.71771897    7.54635171   31.51120234    6.71303343   18.70200777   51.49682323   17.41605311   44.71876236   73.06078542   25.61245728   64.37608256   78.67497436   10.93242873   26.64978699   62.57166711   61.43135983    5.80506351   40.27857376   37.98314075   37.98314075   10.79593963   10.79593963
    2   31.61410504   31.61410504    0.00000000   51.32139386   15.88189171   26.16313706   16.65261132   20.40363043   36.60605671   29.32028046   24.80917610   31.58183992   42.64475607   32.54011825   14.35928516   31.33043814   14.54416459   51.77619401   20.43304109   11.66600175   53.10500888   13.34057829   13.34057829    8.89660486    8.89660486
    3   27.30633738   27.30633738   24.18513612    0.00000000   26.22580847    7.68209521   71.74813843   51.44356062   25.22504280   67.75075172    8.39726368   17.89635295   32.78914370   21.36307637   27.68841668   47.83647544  121.95627039    8.55305522   44.20440985   59.63355934  132.12043067   15.96176798   15.96176798   41.27561284   41.27561284
    4   16.01352527   16.01352527   15.88189171   55.65174573    0.00000000   67.77617402   16.11760290   55.42108859   59.50484574    7.20988475   41.85418943   17.54583090   55.91106540  100.72150055   63.74635196   12.10328946   28.16393203   24.71958455   32.12343595   13.24947395   55.98079182   21.43952589   21.43952589   37.21264489   37.21264489
    5   31.51120234   31.51120234   85.96161930   16.30157597   67.77617402    0.00000000  123.36085557   86.78849993   27.21173491   49.35970991   42.48415082   70.58224189   36.28268249    1.31865109   25.42097056   93.10135446   78.61314049   12.82311885  153.08677081   39.97003778   87.54786882   53.23762689   53.23762689   23.17889433   23.17889433
    6    6.71303343    6.71303343   42.38442783  111.09013688   16.11760290   37.54590711    0.00000000   31.32512678   30.35526847   52.44686906   90.95926624   28.78717109   34.27811920   77.29943129   84.97700445   18.84484397   24.07013986   32.80048588   16.03654387   15.72232901   19.30340468   22.81144403   22.81144403   18.68169072   18.68169072
    7   18.70200777   18.70200777   15.80580634   84.56489911   26.11711161   40.89896098   31.32512678    0.00000000  139.63590355   39.57983141  115.06787869   50.96429598  117.08996398  131.78932479   42.14878908   34.87812541    8.45498373   40.69925535   30.15347058   17.79057468    1.18709485   52.45250594   52.45250594   46.73063096   46.73063096
    8   24.26780697   24.26780697   60.17444079   25.22504280   59.50484574   27.21173491   64.41455120   42.49935394    0.00000000   25.09363558   51.40860020    5.89560778   14.70844940   55.15185967   50.68670645   20.43584700   55.24536711   61.68956973   90.73772349   94.37324179   55.26632200   88.64950926   88.64950926   70.55285993   70.55285993
    9   17.41605311   17.41605311   22.71314786   67.75075172    9.30720147  125.63093095   20.60608978  100.73906585   25.09363558    0.00000000   54.22206337   20.97754601   46.97361251   78.36366156  121.63219062   33.52640721   43.56580878   25.64674801   35.34258360   40.84080376   65.50853538   60.75332678   60.75332678   18.53581555   18.53581555
   10   27.20386811   27.20386811   63.14461522   13.80374428   19.72372908   27.43860814   90.95926624   35.02187030   51.40860020   25.55207263    0.00000000   32.11455638   14.51476549   14.99068164   54.65774908   16.04174146   33.09259219    8.57639243   81.84352646   47.67574253   45.66954781   27.90683233   27.90683233   13.62086096   13.62086096
   11   28.70518548   28.70518548   80.38248111   45.55001408   37.23264131   45.58590532   37.16120440   83.77706549    5.89560778   20.97754601    9.77433356    0.00000000   18.57035351   26.12080154   72.50761045   14.40032898   39.00734889   16.89127118  134.46316251   54.75804600   51.39399667   71.17379325   71.17379325   17.64957042   17.64957042
   12   42.10274016   42.10274016   20.09628252   21.17703774   17.01699991   56.17773858   26.55377020  117.08996398   24.17831357   46.97361251    5.70277247    5.65204225    0.00000000   51.88677555   28.71402610   44.01177294   34.50030520    7.43328073  125.32872796   22.34839493  118.22779614   34.22063964   34.22063964   13.63028962   13.63028962
