# AMPL data file for EVRP instance: C20R2
# Auto-generated by export_to_dat.py
# Nodes: 26 (depot_start + 20 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;

set STATIONS := 22 23 24 25;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.115800
  3  0.076100
  4  0.120100
  5  0.087100
  6  0.061400
  7  0.098600
  8  0.146000
  9  0.145600
  10  0.074500
  11  0.095600
  12  0.066600
  13  0.099400
  14  0.088800
  15  0.074400
  16  0.069700
  17  0.092500
  18  0.142000
  19  0.119300
  20  0.149100
  21  0.087400
  22  0.000000
  23  0.000000
  24  0.000000
  25  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  22
  24  23
  25  23
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25 :=
    0    0.00000000    0.00000000   26.09787036   96.45025856   97.52214101   17.01806708    5.10520446   21.99968043    7.20956885   49.49263804   22.75324395   14.65125761   14.88386817   18.08312751   51.71383720   15.88845289   43.71171938   29.24632481   24.74203900   30.13904119   43.02964874   33.19455071   21.32594460   21.32594460   33.96825432   33.96825432
    1    0.00000000    0.00000000   26.09787036   96.45025856   97.52214101   17.01806708    5.10520446   21.99968043    7.20956885   49.49263804   22.75324395   14.65125761   14.88386817   18.08312751   51.71383720   15.88845289   43.71171938   29.24632481   24.74203900   30.13904119   43.02964874   33.19455071   21.32594460   21.32594460   33.96825432   33.96825432
    2   26.09787036   26.09787036    0.00000000   35.73661707   41.06947929    7.39075458   31.51138381   30.32557307   30.44845651   25.48702082   76.48434205   14.67964078   28.58760402   30.79223589  106.68444052   67.40164529   51.36940290   31.04142195   24.62388457   98.16646812   20.68769062   96.25926246   18.08235756   18.08235756   20.08359784   20.08359784
    3   29.35544206   29.35544206   27.68360515    0.00000000    6.05647816   36.67541488   43.90607476  165.30048212   36.53354155   34.79658634  100.45538661   34.22378520   34.80754382  138.57575791   57.84280080   88.74988489  154.93695569  140.56830156   67.43813320    3.33913635   43.25678692   87.63156131   70.20382365   70.20382365   41.60543244   41.60543244
    4   38.31591913   38.31591913   41.06947929    7.81827510    0.00000000   66.46839497  111.23257549   51.42100159   36.86172198   70.23349086  105.29057491   18.53435751   97.30840326   55.85889361  145.95262461   43.62153418   58.81870884   54.71415442   63.22365907    4.75738703  122.36434422   79.79401428   78.54177240   78.54177240   21.05992525   21.05992525
    5   43.31459025   43.31459025   24.28306780   36.67541488   40.43487242    0.00000000   22.06690900   24.38804665   16.20628124   50.85752887   62.99475129   42.06234412    2.11435195   17.19551256   82.69998279   31.27108505   68.76496245   50.27474777   19.79466271   64.06183606   25.09210951   50.03377973   17.80886597   17.80886597   24.43557905   24.43557905
    6   16.77366294   16.77366294   51.79962196  111.75027276   43.70267431   36.27443184    0.00000000   62.71482429    5.11644340   36.64925264   28.50438871   19.72159062   20.34772981   11.83736251   13.96072378   50.02189969   33.24556791   18.69302588   14.95538039   44.68884022   49.82173571   30.10574371   31.88292527   31.88292527   32.65214015   32.65214015
    7   28.39926920   28.39926920   39.14711924   64.94566095   66.37909451   80.12938112   62.71482429    0.00000000   15.27401066   51.35635315   21.77515805  112.83397186   24.81877587   26.80823922   28.33890838   12.66939447   22.15124366   46.90389942  110.26496704  169.09969662   25.43487054   38.28476872   34.75371360   34.75371360  100.93180508  100.93180508
    8   23.68776385   23.68776385   50.05234128   36.53354155   78.22138948   34.39008729   13.02243365   50.18429886    0.00000000   29.22533632   18.25198382   45.46719914   15.30975693   16.70859068   30.43946559   24.36560325   21.08538580   16.06962967   39.02210342  122.70822487   27.97455628   56.42230455   23.01083096   23.01083096   56.65655266   56.65655266
    9   23.32333746   23.32333746   15.50457831   53.87676424   45.36066266   50.85752887   28.39058430  130.71281148   29.22533632    0.00000000   72.82685890   21.22556186   14.99985060   32.25519139   81.64231382   38.99754902  144.15856884   77.82324421   45.67449663   18.81668259   18.25091459  146.54249929   22.60232522   22.60232522   29.44671239   29.44671239
   10   48.28288699   48.28288699   76.48434205  155.53856719   49.61803831   62.99475129   46.85660803   10.26151322   38.73111343  112.76035729    0.00000000   31.30088011   67.02391152   35.85356980   44.75166181   14.69429845   30.42595910   27.34365102  111.92967833   48.93256525   57.31836522   94.31592578   39.90291151   39.90291151   36.94494243   36.94494243
   11   48.13818105   48.13818105   31.15052247   20.81943439   18.53435751   42.06234412   19.72159062   44.33185425   70.39844499   32.86427528   66.42116002    0.00000000   14.31507471   55.74183247   64.43301203   84.42784932   44.77952971   93.39709022   11.65049043   57.93115463   24.79308350   44.68385245   63.22932787   63.22932787    5.61518856    5.61518856
   12   11.52988625   11.52988625   28.58760402   57.21797628   38.23194273    6.94691608   15.76250256   24.81877587   32.48764289   49.28351839   43.28773928   23.53166914    0.00000000   36.65024879   80.36986604   32.70004547   66.37645183   48.53643967   37.51878405   94.10433303    9.73362995   36.92099129   22.12514017   22.12514017   12.22513829   12.22513829
   13   46.02539495   46.02539495   30.79223589   89.49986867   55.85889361   36.48925805   25.11914512   10.53281148    7.87390033   32.25519139   10.91233354   26.26826173   22.29553060    0.00000000   23.05065645   10.84418578   66.02213058   10.53491996   33.11575029   91.90704638   19.97302957  110.22081426   21.46798196   21.46798196   29.14254035   29.14254035
   14   51.71383720   51.71383720   41.91573680   44.80830559   94.26425611   25.17043074   35.53300310   13.35467152    9.26450568   38.47382786   21.08915895   99.76387238   80.36986604   10.86259008    0.00000000   33.89463596   12.06022834    6.69589199   82.96857219   45.35186278   63.15091311   82.16855266   66.19901136   66.19901136   55.32862978   55.32862978
   15   52.20311062   52.20311062   26.48174008   53.98942270   92.56586051   31.27108505   32.30690216   12.66939447   11.48225695   64.10566762    6.92466789   84.42784932   50.63061714    5.11030760   15.97280048    0.00000000   32.50730566   20.11045021   35.28589875   91.72955434   15.83236696   80.54327613   22.37718565   22.37718565   22.56712518   22.56712518
   16   26.59125133   26.59125133   84.44299581   47.15635700   96.68845078   32.40539378   51.47526850   47.00542906   16.33393261   43.87586491   99.96755001   73.61030936  102.77296779   20.09438707   19.82506616   82.73798771    0.00000000   20.47970340   87.55966230  155.05560131   48.99550894   38.08611913  129.18774432  129.18774432   30.36508594   30.36508594
   17   45.28310138   45.28310138   31.04142195  140.56830156   89.94122669   23.69190560    8.80906268   46.90389942   24.88116624   36.67409657   27.34365102   28.42618476   48.53643967   13.59947154    4.32457641   51.18536122    9.65103200    0.00000000   29.97540305  142.32219667   94.06584906   78.95737647   63.74269074   63.74269074   31.13742689   31.13742689
