# AMPL data file for EVRP instance: C21R2
# Auto-generated by export_to_dat.py
# Nodes: 27 (depot_start + 21 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

set STATIONS := 23 24 25 26;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.123100
  3  0.100200
  4  0.121500
  5  0.052400
  6  0.093500
  7  0.131200
  8  0.141400
  9  0.089900
  10  0.070400
  11  0.058500
  12  0.109500
  13  0.110800
  14  0.132600
  15  0.134100
  16  0.091300
  17  0.126300
  18  0.139200
  19  0.075400
  20  0.105800
  21  0.075300
  22  0.129900
  23  0.000000
  24  0.000000
  25  0.000000
  26  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  23
  25  24
  26  24
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26 :=
    0    0.00000000    0.00000000   16.54011995   36.44020567   31.50200002   50.33899969   29.55203902   23.22953691   33.88741091   11.85080494   20.42784075   11.55907134   18.36044818   15.74493214   16.86768125   36.82237791   58.62402583   66.11171360   28.27965178   38.59286353   22.44929127   59.42045246   75.87889813   38.70739282   38.70739282   55.37500441   55.37500441
    1    0.00000000    0.00000000   16.54011995   36.44020567   31.50200002   50.33899969   29.55203902   23.22953691   33.88741091   11.85080494   20.42784075   11.55907134   18.36044818   15.74493214   16.86768125   36.82237791   58.62402583   66.11171360   28.27965178   38.59286353   22.44929127   59.42045246   75.87889813   38.70739282   38.70739282   55.37500441   55.37500441
    2   27.18928391   27.18928391    0.00000000   59.79507238   88.57924807   62.59636653   34.53840796   35.22016370   19.13240903   66.38373621   48.51168773   21.87825003   29.97160821   52.14697419    8.30704473   47.18338520   44.55973043   26.98269458   35.97620588   40.40192093   87.89843304   99.78191673   45.19797023   30.77739527   30.77739527    4.46155284    4.46155284
    3   28.22864469   28.22864469   23.49315893    0.00000000   43.05484276  156.69939393   13.06211041   45.68159846    5.07057602   37.07739035   23.18596583   67.87853361   40.63868066  132.54694807   15.16375856   85.23377718   39.10564864   24.79747525  128.57303869   64.83080409   95.21607133   59.65031676   54.78976058   55.63936920   55.63936920   18.21993030   18.21993030
    4   19.16368452   19.16368452   88.57924807  141.46101796    0.00000000   60.14182736   37.39256993   18.18697955  134.84089628    9.19994883   65.81839872   35.76454188   13.22736035    6.04163910   59.21086840   87.88637686   33.53666749  108.36336373   40.85980493   30.25143175   25.32492359    7.36004086  117.57724134   39.83099224   39.83099224  102.80211022  102.80211022
    5   23.72218422   23.72218422   62.59636653  101.20511255   18.30466766    0.00000000   39.01347265   77.43546382  144.52272943   53.64897425  144.77662784   68.41704300   23.61415145   25.13554535  111.49453797   86.18450104   64.74744876   31.16955934  103.49915327   41.89601712    4.89980499   65.34283256   46.61250820   30.40248466   30.40248466   71.44173004   71.44173004
    6   75.21620730   75.21620730   13.56995276   21.47199836   79.34786057   50.36228211    0.00000000  144.27322234   17.45423844   65.16448341   26.01065041   30.05355146   80.94089794  114.77054608   37.23084893   57.68001249   67.68572408   11.78706192  135.67373098   72.22771120   35.90957346   52.63315834   45.56899149  131.85040412  131.85040412   12.95501058   12.95501058
    7   76.32298082   76.32298082   74.73796649   96.93736247   23.47747413   77.43546382  144.27322234    0.00000000   58.97533722   22.32015756   53.89559560   17.96078609   26.00829325   57.13201337  107.15511069   21.09678936  132.14693831   55.64445107   22.11204985   27.13557663   37.62371782   17.19322830   68.71453038   13.08305030   13.08305030   49.66584577   49.66584577
    8   26.25110546   26.25110546   19.13240903    6.54557933   41.03995341  144.52272943    5.31234330   96.94592252    0.00000000   73.52568867   82.79004487   41.03265138   61.01482071   38.44388945   17.44177617   27.22298611   33.40202920   30.61902613   52.95146560   70.22486790   52.90127425   94.06964398   25.19135186   42.48239208   42.48239208   22.09817087   22.09817087
    9   30.16281213   30.16281213   26.08180913   78.67904253   15.12322894   16.32851356   39.64166088   47.36386809   44.72805221    0.00000000   36.59780651   52.28558768    7.98218122    7.23577312   21.96811388   24.58804109   62.84321066   54.94451061   32.59547355   26.72970699   20.95852716   34.78496088   31.93549189   53.35667171   53.35667171   31.77589222   31.77589222
