# AMPL data file for EVRP instance: C22R2
# Auto-generated by export_to_dat.py
# Nodes: 28 (depot_start + 22 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;

set STATIONS := 24 25 26 27;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.129500
  3  0.124100
  4  0.149600
  5  0.092100
  6  0.127900
  7  0.099000
  8  0.075100
  9  0.076400
  10  0.120000
  11  0.060900
  12  0.120700
  13  0.074700
  14  0.071000
  15  0.051100
  16  0.096900
  17  0.124700
  18  0.107300
  19  0.071500
  20  0.099600
  21  0.149000
  22  0.114500
  23  0.094000
  24  0.000000
  25  0.000000
  26  0.000000
  27  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  24
  25  24
  26  25
  27  25
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27 :=
    0    0.00000000    0.00000000   22.75477489   50.14005597   28.03252729   10.23888930   34.29783475   11.61148787   26.62305138   16.62704719   41.24611678   27.85035629   21.27841756   51.68437075   56.96825687   31.87446515   36.71537733   42.40263186   74.10767725    6.08460315   29.88546642   27.47636911   17.28041099   57.92644394   41.17785147   41.17785147   64.86415988   64.86415988
    1    0.00000000    0.00000000   22.75477489   50.14005597   28.03252729   10.23888930   34.29783475   11.61148787   26.62305138   16.62704719   41.24611678   27.85035629   21.27841756   51.68437075   56.96825687   31.87446515   36.71537733   42.40263186   74.10767725    6.08460315   29.88546642   27.47636911   17.28041099   57.92644394   41.17785147   41.17785147   64.86415988   64.86415988
    2   29.37401658   29.37401658    0.00000000  115.91811901   59.92320860   67.98403875   37.42003412   44.08431679   14.97047110   55.75281615    8.14747718   62.03424880   32.76844566   55.85450537   34.88388849   43.60558542   80.16766544   33.78571995   94.38410034   53.72532288   44.67331541   39.62004723   60.49592782   94.92311550   80.64707839   80.64707839   19.79957754   19.79957754
    3   30.50181619   30.50181619   74.86631561    0.00000000   26.87506720   94.99265811   58.20573219   46.59320613   34.93678655   51.96313520   27.48115634   52.45946743   81.41875391   27.41277330   19.13426794   46.35393823   15.74201710   35.01295954   17.44253726   63.19946686  124.02490372   65.87134628   21.99250033   14.28594301   12.12240927   12.12240927  103.87606857  103.87606857
    4   21.71558140   21.71558140   59.92320860   10.55906783    0.00000000   38.05307331   10.71685901   31.23084554   24.40833544   48.82294480   20.18169935   54.43430280   33.74524392    5.12763397   11.80059561   35.93642569   67.17377545   63.84842482    2.76254248   18.31234666  132.40442962  157.37118677   36.42995114    5.69301316   19.63179477   19.63179477   23.43849830   23.43849830
    5   13.21732716   13.21732716  105.26205051   94.99265811   96.85314265    0.00000000   26.00012823   26.95075767  121.04750569   20.55301243   97.19718298   48.94349815    5.96677896   70.11208677   57.98513171   23.35729670   21.52744611   17.12359439   99.55532438   11.40918486   27.46526804   56.85747459   23.11517800   31.44839367   26.36655093   26.36655093  134.06882155  134.06882155
    6   53.10452983   53.10452983   22.76381589   58.20573219   13.83433569   55.17284726    0.00000000   23.66765354   12.00248551   98.64504268    9.77020245   15.58121423   24.15240313   10.14720291    5.78425297   66.13305776   78.00070641   26.84176890   23.95704154   31.85935615   49.68805545   39.08287534    9.59640191   38.19965502    8.69470377    8.69470377   16.62024301   16.62024301
    7   11.61148787   11.61148787  112.20393653   28.34415283   24.19317964    8.20268828   50.22328437    0.00000000   75.30055745   23.51035536   29.78189437   46.05457820   11.80835212   36.79276853   32.63880699   15.16293234   17.99074116   11.70297496   52.95234043   19.47750768   16.13068188   73.46164302   26.84449805   24.02669297   16.12251686   16.12251686   39.89855134   39.89855134
    8   34.36755391   34.36755391   49.18698909   34.93678655   24.40833544  121.04750569   12.00248551   45.80776224    0.00000000   78.74824483    9.02580028    5.24926226  117.04533215   14.92087345   21.82662146   87.09923991   35.66007857   69.59301797   62.44623490   56.32051220  105.39319233   56.79951087   31.29800278   73.33959463   67.65745992   67.65745992    4.71381801    4.71381801
    9   54.62983652   54.62983652   55.75281615   85.41899573   80.25703026   15.92152609   63.71041008   77.24563808  121.92864497    0.00000000   92.58150145   39.69700166   25.88176524   84.09966577   39.42781436   25.06757857   67.01505188   58.33789842  126.97523522   69.37071531   50.45610730   23.76315135   59.13217786   72.54107713   61.34618730   61.34618730   39.70557979   39.70557979
   10   19.43717568   19.43717568   10.51753449   90.29210425   42.82601247   38.18824489    9.77020245   97.85141053    9.02580028   36.37476870    0.00000000   40.14461267   61.92393883   18.18790298    8.40557450  108.33717547   67.69258466   36.52816601   43.79427741   67.70265064  139.72221304   74.32099943   23.60401700   45.25474499   22.67827100   22.67827100   15.12299858   15.12299858
   11   27.85035629   27.85035629   24.37291917   31.91278913   35.15667549   80.45520048   25.61299788   75.70628300   13.36048581   51.24464603   40.14461267    0.00000000   36.21994151   39.47848863   13.68994145   55.06176088   34.88131527   41.86680024   35.03528785   27.07878599  166.00908225  100.10313557   19.34826320   20.75154986   42.48876729   42.48876729   15.50611050   15.50611050
   12   21.27841756   21.27841756  107.66402531   81.41875391   33.74524392   15.18671802   31.17820736    4.63943736  117.04533215   65.87458206   95.87898713   36.21994151    0.00000000   63.87609338   84.27910318   38.30265154   15.56370999   18.53043658   34.77463712    9.14227335   30.69085833  102.20217541   27.40883704   20.75857275   22.54830678   22.54830678   39.85898987   39.85898987
   13   24.35618848   24.35618848   55.85450537   27.41277330    6.61923513   33.04022426   10.14720291   36.79276853   31.66242353   84.09966577   23.47866618   39.47848863   38.85789159    0.00000000   13.53001926   83.01996553   83.47780617   24.05938020    6.17811591   21.64807416  146.10576208   63.37225626   25.03751528   34.64284165   16.34164454   16.34164454   40.70652449   40.70652449
   14   17.33876496   17.33876496   34.88388849   40.60333984   38.77204424   35.27422926    3.73578964   32.63880699   33.79491676   64.81295430    8.40557450   22.50405111   25.65104923   34.43676875    0.00000000   68.48279034   54.10614179   47.78387757   40.39140512   21.31319178   84.71934090   39.26143660    5.79597153   43.45423438   13.49654791   13.49654791   19.20703729   19.20703729
   15   15.02079777   15.02079777   33.77935318   46.35393823   76.25789029   23.35729670   31.16511232   15.16293234   52.98528202   11.81306185   69.97012409  140.14386006   38.30265154   50.50372761   41.66029421    0.00000000   30.49340914   26.28611929  120.81548406   22.75305612   15.62277894   45.51577482   36.67042712   31.06336545   56.71241791   56.71241791   57.57402612   57.57402612
   16   17.30207096   17.30207096   80.16766544   20.32128525   43.38452967   54.79191632   23.74016671    8.47811198   35.66007857   31.58075083   31.90003722   74.01892264   25.58422375   32.79797631   25.49744474   30.49340914    0.00000000    4.39727759   69.14324469   27.75765033   22.52216896   42.76483867   27.45974989   19.18846649   31.97960932   31.97960932  132.51309495  132.51309495
   17   12.90559529   12.90559529   33.78571995   21.29951464   41.23683480   43.58317964   20.79315259    5.51501082   32.79561380   35.48882865   92.97193014   41.86680024   28.69131912   79.04951444   29.06847674   20.36271498   14.44769798    0.00000000   20.14301270   18.59618392   27.52866888   38.68995795   38.44517696   13.74817213   26.34328324   26.34328324   48.26745205   48.26745205
   18   74.10767725   74.10767725   28.72658954   27.00688679    1.78420233   39.11474582   37.09352023   81.98794945   62.44623490   38.64597375   67.80820212   21.31309768   34.77463712    4.78591807   15.86956353   78.02930411   44.65652154   42.74391853    0.00000000   62.91323233   41.06794778   62.86431981   38.76597623   13.57066351   10.09162730   10.09162730   49.82756273   49.82756273
   19    6.08460315    6.08460315   53.72532288   24.83072702   23.63930986   14.72805540   49.32894864    9.17874865   34.26158742   21.11355681   67.70265064   27.07878599   11.80171152   21.64807416   35.03544255   37.40234680   42.97813493   18.59618392   19.14816792    0.00000000   77.23342221   32.09043291   12.09305407   28.92784985   11.75773135   11.75773135   39.83147829   39.83147829
   20   29.88546642   29.88546642   44.67331541  124.02490372  132.40442962   42.52542927   49.68805545   16.13068188  163.18394343   50.45610730   42.52562295   65.22406609   18.67024081   94.36316074   84.71934090   12.10228833   29.07374683   21.32526418   53.01439300   49.88160446    0.00000000  106.06622183   75.48676423  114.14657876   31.88604004   31.88604004  113.96710957  113.96710957
   21   90.27637532   90.27637532   39.62004723  167.65654762  157.37118677   88.03440443   39.08287534   44.68909117   44.00011419   14.45589281   45.21186545  154.99316465  102.20217541  161.29583347   83.31363699   45.51577482  140.50818033   82.10094664  103.33878133   32.09043291  106.06622183    0.00000000   48.19486281   44.74398174   83.48287838   83.48287838  150.04781439  150.04781439
   22   28.40620272   28.40620272   60.49592782   36.15211600   23.52847202   49.05091905    9.59640191   20.79526675   31.29800278   91.55640657   36.54692006   19.34826320   21.23243565   11.79889457   14.75197687   28.40698724   27.45974989   38.44517696   15.23094135   12.09305407   35.57303360   48.19486281    0.00000000   13.55084867   13.74248323   13.74248323   24.89933232   24.89933232
   23   37.41209287   37.41209287   61.30658420   22.11942217   12.08069987   80.04283210   24.67144440   24.02669297   22.32151840  112.31787144   21.32623620   20.75154986   26.79712997   34.64284165   43.45423438   65.91714865   31.54273759   17.74744149    8.25547312   44.78999553   34.74146497   44.74398174   22.27540507    0.00000000   17.99365280   17.99365280   27.01951668   27.01951668
   24   16.17855402   16.17855402   80.64707839   12.12240927   19.63179477   43.34234824   28.56732408   16.12251686   26.58224825   61.34618730   17.56787160   65.78683541   22.54830678   12.65916228   22.18614338   34.49999633   15.07034682   16.02547041   13.02722742   11.75773135   67.66288233   39.34119137    6.47612628    5.47651857    0.00000000    0.00000000   82.99835335   82.99835335
   25   16.17855402   16.17855402   80.64707839   12.12240927   19.63179477   43.34234824   28.56732408   16.12251686   26.58224825   61.34618730   17.56787160   65.78683541   22.54830678   12.65916228   22.18614338   34.49999633   15.07034682   16.02547041   13.02722742   11.75773135   67.66288233   39.34119137    6.47612628    5.47651857    0.00000000    0.00000000   82.99835335   82.99835335
   26   39.45896437   39.45896437   50.39412434   31.61554938   23.43849830   86.58904055   54.60748068   84.66560856    4.71381801  130.45667749   38.49123898    7.30723320   51.45375574   19.18289356   14.87885760  146.53810796   52.06367474   48.26745205   77.14974751   30.85571630   69.32987530   45.66830600   40.93047798   57.33601209   82.99835335   82.99835335    0.00000000    0.00000000
   27   39.45896437   39.45896437   50.39412434   31.61554938   23.43849830   86.58904055   54.60748068   84.66560856    4.71381801  130.45667749   38.49123898    7.30723320   51.45375574   19.18289356   14.87885760  146.53810796   52.06367474   48.26745205   77.14974751   30.85571630   69.32987530   45.66830600   40.93047798   57.33601209   82.99835335   82.99835335    0.00000000    0.00000000
;

param c_load :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27 :=
    0    0.00000000    0.00000000    5.69772852    5.91648975    5.43751753    2.56378768    4.04711929    2.90748231    6.66633354    4.16336357    4.86701146    6.97364707    2.51083763    6.09871776    4.34157561    3.76116346    4.33238754    3.23152300    5.64777828    1.18024094    5.79693532    6.88000178    3.35191104    4.41459946    3.13818195    3.13818195    7.65392319    7.65392319
    1    0.00000000    0.00000000    5.69772852    5.91648975    5.43751753    2.56378768    4.04711929    2.90748231    6.66633354    4.16336357    4.86701146    6.97364707    2.51083763    6.09871776    4.34157561    3.76116346    4.33238754    3.23152300    5.64777828    1.18024094    5.79693532    6.88000178    3.35191104    4.41459946    3.13818195    3.13818195    7.65392319    7.65392319
    2    5.69772852    5.69772852    0.00000000    8.83417021    7.07089457    8.02206660    4.41553652    8.55111075    3.74856181    6.57879132    2.04010425    4.72765705    8.20512214    6.59079058    4.11627320    8.45825040    9.45972559    8.45984462    7.19305329    6.33954861   11.18606641    7.68516871    4.61042094    7.23413187    6.14614888    6.14614888    3.84055811    3.84055811
