# AMPL data file for EVRP instance: C23R2
# Auto-generated by export_to_dat.py
# Nodes: 29 (depot_start + 23 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set STATIONS := 25 26 27 28;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.072100
  3  0.094800
  4  0.133300
  5  0.076200
  6  0.091800
  7  0.127600
  8  0.117500
  9  0.130800
  10  0.091400
  11  0.131200
  12  0.101900
  13  0.080500
  14  0.088700
  15  0.050700
  16  0.069700
  17  0.072700
  18  0.058700
  19  0.086400
  20  0.145200
  21  0.072300
  22  0.053400
  23  0.097700
  24  0.076300
  25  0.000000
  26  0.000000
  27  0.000000
  28  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  24
  25  25
  26  25
  27  26
  28  26
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28 :=
    0    0.00000000    0.00000000   19.57155834   32.37012643    6.76810853   26.17409666   13.32228982   54.25047653   28.62155414    5.72024533   50.12133731   15.21605358   73.53217418   38.76437938   81.40565978   36.50300681   25.77239006   30.45096608   31.31328483   12.99513633   23.98528748   81.50530293   21.18197278   11.78589371    7.70962786   55.11638189   55.11638189   43.82326534   43.82326534
    1    0.00000000    0.00000000   19.57155834   32.37012643    6.76810853   26.17409666   13.32228982   54.25047653   28.62155414    5.72024533   50.12133731   15.21605358   73.53217418   38.76437938   81.40565978   36.50300681   25.77239006   30.45096608   31.31328483   12.99513633   23.98528748   81.50530293   21.18197278   11.78589371    7.70962786   55.11638189   55.11638189   43.82326534   43.82326534
    2   19.57155834   19.57155834    0.00000000   30.93584497   46.11126524   27.26106454   40.08920214   93.18306044   48.69448632   38.63607629   36.49592412   51.53008365   41.80541170   28.70313940   91.80649162   38.95187489    9.93211775   50.76065929  101.67697297   15.46301360   15.37913788  145.54678636   14.21887004   33.82466017   57.86534264   61.44022232   61.44022232   65.01963300   65.01963300
    3   25.07573107   25.07573107    9.41558289    0.00000000   59.12067852    8.22811201   26.43154873   98.60419935  149.62544879   73.01256069   95.43161947   70.03664492   14.02589294   66.40522596  105.65597543   44.13755099   27.61677054   19.33812619   59.54599935   50.18693366    8.78038052  102.97312299   28.50742784   55.11950915   68.51099724   91.04118441   91.04118441   79.93149068   79.93149068
    4   10.47929772   10.47929772   21.72987019   59.12067852    0.00000000   61.84581552   23.66744385   25.08370168   62.36862822    9.75550433   43.59223970   13.00593272   54.02152109   12.74445761   46.54107236   10.59572022   19.46103689   87.63407529   34.63425819   27.79751127   26.27759318   30.02481016   59.81335626   49.18547208    8.27605157   84.77085171   84.77085171   33.45031753   33.45031753
    5   26.17409666   26.17409666   16.58378643    5.00542641   61.84581552    0.00000000   48.71867583   97.31008543  100.60915804   29.46272978   47.25499339   75.41720097   15.23342574   65.71351238  167.35985375  113.01449523   18.16368462   21.34967462   54.41796466   34.19960049   22.64353861   48.60829723   16.55604066   54.08738815   42.55693129  103.16706923  103.16706923   50.59203301   50.59203301
    6   13.32228982   13.32228982   15.75082962   20.47537284   14.39767084   48.71867583    0.00000000   46.28075297   83.84867351   38.78002846   80.53889212   12.58324702   20.66105420   46.43958941   31.47674400   70.09959538   10.87386559   27.19713021   65.67354831   10.59494260   35.79238781   34.40543542   10.33631235   32.37218540   37.09155525   52.93071321   52.93071321   61.50026371   61.50026371
    7   25.56546230   25.56546230   43.91238880  152.67230960   25.08370168   59.19686929   46.28075297    0.00000000   30.09935821   33.22096390   75.11935262  116.94880285   41.23902443   15.30863910   22.30421632   14.53862404  113.15054646  110.69954851   34.03331089   41.52026034   47.73665680    8.80804206   53.58092786   97.55303997   39.73784701  107.88803316  107.88803316   80.83422867   80.83422867
    8   28.62155414   28.62155414   37.72150368   45.53975550   24.50429503   47.41192706   25.52004436   30.09935821    0.00000000   56.18643919   12.35787003   31.35622141   56.92909866   34.68714732   13.64633772   27.90218663   33.50606794   96.19196812  144.10228004  104.44183088  139.25417767   74.92286681   43.23269507   72.02541172   39.87661257   68.17406146   68.17406146   29.87705665   29.87705665
    9   14.55923763   14.55923763   59.82158002   22.22198289    7.55716551   74.98889636   15.23646240   84.55439932   26.47778203    0.00000000   59.52377417   63.34637664   24.18467024   22.72191975   28.30592079   25.76150952   30.46868786   24.73137951   26.16214666    6.96396206   22.22587099   86.95278122   15.86825904    9.66917521   21.52707142   27.91293049   27.91293049   17.52221066   17.52221066
   10   23.61961113   23.61961113   36.49592412   44.97201915   67.49538011  100.27614131   52.01645927  116.30990502    7.51769165   28.05049654    0.00000000   40.41982897   57.29314278   39.27319364   21.11082654   32.93879441  111.08486729  100.16831568  153.81269671   68.74010738   41.04806983   36.72566897   68.27265668   35.27418407   72.39897286   36.41893709   36.41893709   25.89805772   25.89805772
   11   15.21605358   15.21605358   31.34741495   33.00467239   42.73230059  116.77107396   12.58324702   35.59434528   19.07500268   19.27999900   12.30211267    0.00000000  108.68840161   83.90679868   76.95924386   72.95810827   48.35771004   48.88546440  129.64412272   46.26343810   61.09150016   66.06359763   19.95587330   32.99974553   17.78531392   37.74387200   37.74387200   25.27544330   25.27544330
   12   47.49113431   47.49113431   12.72382634    8.53240389   25.45756736   15.23342574   67.88397243   53.23523494  144.89663077   61.55511535   57.29314278  108.68840161    0.00000000   56.05839947   99.76511689   98.61566072   10.61482054   27.05629380   27.73134782   26.24293475   12.24347517   56.98760295   20.05357714   39.43920623   37.21541106  102.89456756  102.89456756   35.61189036   35.61189036
   13   38.76437938   38.76437938   60.90869677   31.29337121   27.04402097   65.71351238   71.90403064   15.30863910   57.02006390   35.18113822   64.55878282   25.53773524   56.05839947    0.00000000   24.48940471    7.08300320   24.69862966   21.29620059   17.31004158   16.86837706   32.44038673   58.91944223   56.38584701   47.85218605   17.87213811   48.74138386   48.74138386   23.54843215   23.54843215
   14   52.57626564   52.57626564   91.80649162  163.59081963   21.93241620  108.09022557   40.63315961   47.33004044   10.57122515   93.00195083   21.11082654   49.70452496   60.69034426   51.96705852    0.00000000   62.67482332  121.30683338  148.85792507   53.79791134   73.89067665   61.84703527   17.91197501   83.51598409  116.80844014   18.45027722   41.20993654   41.20993654   12.78275545   12.78275545
