# AMPL data file for EVRP instance: C24R2
# Auto-generated by export_to_dat.py
# Nodes: 30 (depot_start + 24 customers + 4 station copies + depot_end)

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;

set CUSTOMERS := 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;

set STATIONS := 26 27 28 29;

set VEHICLES := 1 2 3;

param depot_start := 0;
param depot_end   := 1;
param Q := 3.0;
param B := 110.0;

param demand :=
  0  0.000000
  1  0.000000
  2  0.059900
  3  0.080000
  4  0.138400
  5  0.065400
  6  0.058800
  7  0.124900
  8  0.133600
  9  0.149400
  10  0.128300
  11  0.076100
  12  0.063900
  13  0.052300
  14  0.115800
  15  0.111800
  16  0.111500
  17  0.056600
  18  0.090500
  19  0.091200
  20  0.098400
  21  0.097200
  22  0.075800
  23  0.088500
  24  0.055800
  25  0.097100
  26  0.000000
  27  0.000000
  28  0.000000
  29  0.000000
;

param orig_id :=
  0  0
  1  1
  2  2
  3  3
  4  4
  5  5
  6  6
  7  7
  8  8
  9  9
  10  10
  11  11
  12  12
  13  13
  14  14
  15  15
  16  16
  17  17
  18  18
  19  19
  20  20
  21  21
  22  22
  23  23
  24  24
  25  25
  26  26
  27  26
  28  27
  29  27
;

param c_fixed :
             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29 :=
    0    0.00000000    0.00000000   17.09142068   47.69896873   23.51791286   10.82064714   27.91541196   26.51372271   13.36154860   23.79970333   23.99561332   48.61121116    9.10972988   29.71907716   15.45179430   20.49228564   84.39551320    4.95147848   55.97022068   55.48007683   14.43950165   26.82407645   24.10173726    2.04669891   15.91200023   25.93636329   87.61674952   87.61674952   11.51496564   11.51496564
    1    0.00000000    0.00000000   17.09142068   47.69896873   23.51791286   10.82064714   27.91541196   26.51372271   13.36154860   23.79970333   23.99561332   48.61121116    9.10972988   29.71907716   15.45179430   20.49228564   84.39551320    4.95147848   55.97022068   55.48007683   14.43950165   26.82407645   24.10173726    2.04669891   15.91200023   25.93636329   87.61674952   87.61674952   11.51496564   11.51496564
    2   17.09142068   17.09142068    0.00000000   57.57186442   40.67434789   19.57932025    5.29495558   40.64266460   45.00933982   25.93155176    3.45907766   65.58717435   10.36229645   51.16514724   23.53785713    8.12582529   20.16094658   10.33754451   43.18526424   24.48493338   68.45420591   36.12453346   20.36862907    9.79982495   29.56258240   74.07055059  100.81331916  100.81331916    6.03018484    6.03018484
    3   14.51757967   14.51757967   17.52247796    0.00000000   30.95244040   18.00109602   51.20148936   18.68382385   32.23873119    9.29585353   26.52942186   50.13526028   66.09247161   41.62197856   44.96381215   21.47230776   28.13915254   18.22253142   26.22165478   51.11430160   18.98174695   29.70709693    9.63229619   13.21217244   29.91093088   39.53148985   17.01712599   17.01712599   31.34126711   31.34126711
    4   77.27046902   77.27046902   66.86205395   50.88080933    0.00000000   32.45316888   31.40427943   21.36387793   10.45667183   37.39409226   44.95394465    2.15685904   29.90412669   51.24647424  115.74454191   96.31364844   44.94548282   59.51062470   13.91733963   10.91467354   19.40830460   15.18866674   99.20010612   28.02509270   45.81375383  148.26485670   32.09573659   32.09573659  109.57145710  109.57145710
    5   13.96831522   13.96831522    5.95912971   29.59089243  106.62815172    0.00000000    7.44914784   93.33704883   22.00976521   21.26609207   16.05024065   41.19448712   13.79346111   36.75242723    6.73266758    5.00743406   15.00031231   10.02448457   68.81039258   80.81035583   41.60852643   31.59700798    9.59849285   24.92025297   25.61653533   59.46828857   57.18306573   57.18306573    1.96066303    1.96066303
    6   18.02931293   18.02931293    3.22109257   33.06874624   40.53961549    3.51040065    0.00000000   38.46144267   44.51822008   77.89459603    6.41467401   30.82655550    9.27012261   33.68470060   28.60341279   12.32723951   23.42179310    6.67242702  106.91606294   30.96467454   64.94106626   95.59107591   23.57941789   20.97556726   16.42656673   81.92782822   94.50929302   94.50929302    3.72215662    3.72215662
    7   56.26270611   56.26270611   31.48410710   30.71318664   27.57851517   28.40791067   29.79440921    0.00000000   61.95265000   37.33719883   34.71152655   27.64517555   42.83279549  117.78695268   27.78683436   80.68707937   34.18478541  102.20321336   11.90999719   20.59714945   12.76644970   43.34380617   51.12796777   24.64823383   90.00640680  172.30983486   13.53757596   13.53757596   96.07364258   96.07364258
    8   17.24835126   17.24835126   21.21058936   15.19245764   34.35644743   72.31529816   68.92910772   61.95265000    0.00000000   73.54247383   80.78688220   32.54123346   20.12174962   42.30220267   32.25957998   62.31122163  114.80392015   18.13130674   46.09501740   13.08295409   23.81407432   19.81030594   19.95631071   24.27969339   57.49365101   37.14455738   68.97453797   68.97453797   48.59733976   48.59733976
    9   30.72290908   30.72290908   55.02732648   30.54246211   61.46984387   45.12711780   23.70787113   11.36388843   47.49778640    0.00000000   93.93378995   37.17074076   61.71622880  105.46260090   24.46687110   37.99469165   30.27705306   27.29129527   28.24932255   45.22447543   15.16417167   79.85419244   21.63755338   29.04858841   82.67756370  102.60220486   10.03776793   10.03776793   28.28263706   28.28263706
